[ 2947 ,  677 635 627] shixi 1
[   0 ,    1 538 760] 时隙: 0-------------------------------------------------------------------------------
[   0 ,    3 594 405] shixi 2
[   0 ,    5 589 442] shixi 3
[   0 ,    8 306 825] shixi 4
[   0 ,   10 580 187] shixi 5
[   0 ,   13 132 205] shixi 6
[   0 ,   15 558 430] shixi 7
[   0 ,   17 737 895] shixi 8
[   0 ,   20 124 377] 时隙: 1-------------------------------------------------------------------------------
[   0 ,   20 739 895] shixi 9
[   0 ,   23  34 315] shixi 10
[   0 ,   26  51 785] shixi 11
[   0 ,   27 782 820] shixi 12
[   0 ,   33 629  15] shixi 13
[   0 ,   34 237 390] NODE  2 收到网管节点飞行状态信息
[   0 ,   39 667 952] 最佳天线编号: 1, 俯仰角: nan, 方位角: nan
[   0 ,   40  39 445] 时隙: 2-------------------------------------------------------------------------------
[   0 ,   46 632  22] shixi 14
[   0 ,   51 749 747] shixi 15
[   0 ,   53 506 600] NODE  2 发送飞行状态信息
[   0 ,   55 180 285] shixi 16
[   0 ,   57 541 410] shixi 17
[   0 ,   60 218 142] 时隙: 3-------------------------------------------------------------------------------
[   0 ,   60 950 377] shixi 18
[   0 ,   62 592 502] shixi 19
[   0 ,   65 723 660] shixi 20
[   0 ,   68  15 472] shixi 21
[   0 ,   70 298 260] shixi 22
[   0 ,   72 564   5] shixi 23
[   0 ,   75 232 497] shixi 24
[   0 ,   77 767 202] shixi 25
[   0 ,   80 249 500] 时隙: 4-------------------------------------------------------------------------------
[   0 ,   80 844  95] shixi 26
[   0 ,   82 726 160] shixi 27
[   0 ,   85 178 585] shixi 28
[   0 ,   87 724 645] shixi 29
[   0 ,   90 189 702] shixi 30
[   0 ,   92 581 332] shixi 31
[   0 ,   95 563 707] shixi 32
[   0 ,   97 631 127] shixi 33
[   0 ,  100 531 565] 时隙: 5-------------------------------------------------------------------------------
[   0 ,  101 333 212] shixi 34
[   0 ,  102 591   7] shixi 35
[   0 ,  105 250 892] shixi 36
[   0 ,  107 845 827] shixi 37
[   0 ,  110  68 112] shixi 38
[   0 ,  112 844 720] shixi 39
[   0 ,  115  90 830] shixi 40
[   0 ,  117 730 405] shixi 41
[   0 ,  120 240  37] 时隙: 6-------------------------------------------------------------------------------
[   0 ,  121 211 405] shixi 42
[   0 ,  122 760 942] shixi 43
[   0 ,  125 305 505] shixi 44
[   0 ,  127 759 857] shixi 45
[   0 ,  130 167 187] shixi 46
[   0 ,  132 783 342] shixi 47
[   0 ,  135 260 167] shixi 48
[   0 ,  140 513 382] 时隙: 7-------------------------------------------------------------------------------
[   0 ,  142 741 575] shixi 49
[   0 ,  148  89 537] shixi 50
[   0 ,  154 107 587] shixi 51
[   0 ,  157 754 487] shixi 52
[   0 ,  160 535  37] 时隙: 8-------------------------------------------------------------------------------
[   0 ,  161 173 992] shixi 53
[   0 ,  170 616 845] shixi 54
[   0 ,  174 624 855] shixi 55
[   0 ,  175 133 787] shixi 56
[   0 ,  177 598 855] shixi 57
[   0 ,  180  96 847] 时隙: 9-------------------------------------------------------------------------------
[   0 ,  180 662 622] shixi 58
[   0 ,  183 252 745] shixi 59
[   0 ,  185 139 980] shixi 60
[   0 ,  187 809 735] shixi 61
[   0 ,  190 260 967] shixi 62
[   0 ,  193  47   2] shixi 63
[   0 ,  195 124  25] shixi 64
[   0 ,  198  23  77] shixi 65
[   0 ,  200 229 310] 时隙:10-------------------------------------------------------------------------------
[   0 ,  201  31 402] shixi 66
[   0 ,  202 755  45] shixi 67
[   0 ,  205 126 255] shixi 68
[   0 ,  207 756 657] shixi 69
[   0 ,  210 188 357] shixi 70
[   0 ,  213  18 732] shixi 71
[   0 ,  215 275 157] shixi 72
[   0 ,  217 572 772] shixi 73
[   0 ,  220 538 337] 时隙:11-------------------------------------------------------------------------------
[   0 ,  221  55  97] shixi 74
[   0 ,  222 605 930] shixi 75
[   0 ,  225 210  55] shixi 76
[   0 ,  227 750 910] shixi 77
[   0 ,  230  77 542] shixi 78
[   0 ,  232 604 120] shixi 79
[   0 ,  235  85 780] shixi 80
[   0 ,  238  39 365] shixi 81
[   0 ,  240 479 757] 时隙:12-------------------------------------------------------------------------------
[   0 ,  241  19 590] shixi 82
[   0 ,  243 125 125] shixi 83
[   0 ,  245 204 315] shixi 84
[   0 ,  247 768 460] shixi 85
[   0 ,  250 119 492] shixi 86
[   0 ,  252 775 547] shixi 87
[   0 ,  255  69 470] shixi 88
[   0 ,  257 703 357] shixi 89
[   0 ,  260 249 495] 时隙:13-------------------------------------------------------------------------------
[   0 ,  260 690 570] shixi 90
[   0 ,  262 736 100] shixi 91
[   0 ,  265 471 740] shixi 92
[   0 ,  267 611 847] shixi 93
[   0 ,  270 107 937] shixi 94
[   0 ,  272 740 902] shixi 95
[   0 ,  275 208 627] shixi 96
[   0 ,  277 721 802] shixi 97
[   0 ,  280 284 885] 时隙:14-------------------------------------------------------------------------------
[   0 ,  281  69 747] shixi 98
[   0 ,  283  16 427] shixi 99
[   0 ,  285  83 805] shixi 100
[   0 ,  287 796 240] shixi 101
[   0 ,  290 225 727] shixi 102
[   0 ,  293 189 797] shixi 103
[   0 ,  295 253 682] shixi 104
[   0 ,  297 769 632] shixi 105
[   0 ,  300 360 147] 时隙:15-------------------------------------------------------------------------------
[   0 ,  301 610 447] shixi 106
[   0 ,  302 999 450] shixi 107
[   0 ,  305 212 880] shixi 108
[   0 ,  307 748 127] shixi 109
[   0 ,  310 503 257] shixi 110
[   0 ,  313  62 110] shixi 111
[   0 ,  315  87 172] shixi 112
[   0 ,  317 805 885] shixi 113
[   0 ,  320 565 827] 时隙:16-------------------------------------------------------------------------------
[   0 ,  321 692 495] shixi 114
[   0 ,  322 660 685] shixi 115
[   0 ,  325 175 157] shixi 116
[   0 ,  327 767 967] shixi 117
[   0 ,  330 240 275] shixi 118
[   0 ,  332 661 820] shixi 119
[   0 ,  335  93 467] shixi 120
[   0 ,  337 605 750] shixi 121
[   0 ,  340 100  45] 时隙:17-------------------------------------------------------------------------------
[   0 ,  340 696 990] shixi 122
[   0 ,  342 872 255] shixi 123
[   0 ,  345 537 590] shixi 124
[   0 ,  347 562 595] shixi 125
[   0 ,  350 454 665] shixi 126
[   0 ,  353  22 935] shixi 127
[   0 ,  355 103 135] shixi 128
[   0 ,  357 594 767] shixi 129
[   0 ,  360 624 567] 时隙:18-------------------------------------------------------------------------------
[   0 ,  360 974 107] shixi 130
[   0 ,  362 786 725] shixi 131
[   0 ,  365 160 852] shixi 132
[   0 ,  367 707 792] shixi 133
[   0 ,  370 230 215] shixi 134
[   0 ,  373  92 742] shixi 135
[   0 ,  375 243 830] shixi 136
[   0 ,  377 743 572] shixi 137
[   0 ,  380 232 532] 时隙:19-------------------------------------------------------------------------------
[   0 ,  381 584 475] shixi 138
[   0 ,  382 746 270] shixi 139
[   0 ,  385 220 627] shixi 140
[   0 ,  387 619 557] shixi 141
[   0 ,  390 236 180] shixi 142
