[   0 ,    0 249 803] 时隙: 0---------------------------------------------------------------------
[   0 ,   19 963 593] mana_node is 1
[   0 ,   19 988  88] daatr_str.access_state is 0
[   0 ,   19 996 945] state is 0
[   0 ,   20  26 938] 时隙: 1---------------------------------------------------------------------
[   0 ,   20 731 913] NODE  1 发送飞行状态信息
[   0 ,   39 957 358] mana_node is 1
[   0 ,   39 985 755] daatr_str.access_state is 0
[   0 ,   40  26 600] state is 0
[   0 ,   40  56 420] 时隙: 2---------------------------------------------------------------------
[   0 ,   41 287 735] NODE  1 收到普通节点飞行状态信息
[   0 ,   41 649 253] 最佳天线编号: 1, 俯仰角: nan, 方位角: nan
[   0 ,   59 956 633] mana_node is 1
[   0 ,   59 982 405] daatr_str.access_state is 0
[   0 ,   59 995 673] state is 0
[   0 ,   60  19 818] 时隙: 3---------------------------------------------------------------------
[   0 ,   60 619 373] NODE  1 收到普通节点飞行状态信息
[   0 ,   60 767 738] 最佳天线编号: 1, 俯仰角: nan, 方位角: nan
[   0 ,   79 948 833] mana_node is 1
[   0 ,   79 974 588] daatr_str.access_state is 0
[   0 ,   79 983 680] state is 0
[   0 ,   80  50  60] 时隙: 4---------------------------------------------------------------------
[   0 ,   99 958 260] mana_node is 1
[   0 ,   99 985  40] daatr_str.access_state is 0
[   0 ,   99 999 718] state is 0
[   0 ,  100  62 465] 时隙: 5---------------------------------------------------------------------
[   0 ,  119 956 625] mana_node is 1
[   0 ,  119 979 550] daatr_str.access_state is 0
[   0 ,  119 993 265] state is 0
[   0 ,  120  69 575] 时隙: 6---------------------------------------------------------------------
[   0 ,  139 967  38] mana_node is 1
[   0 ,  139 994 128] daatr_str.access_state is 0
[   0 ,  140   8 533] state is 0
[   0 ,  140 114 293] 时隙: 7---------------------------------------------------------------------
[   0 ,  159 952 808] mana_node is 1
[   0 ,  159 978 783] daatr_str.access_state is 0
[   0 ,  159 992 820] state is 0
[   0 ,  160  19 275] 时隙: 8---------------------------------------------------------------------
[   0 ,  179 953 448] mana_node is 1
[   0 ,  179 972 355] daatr_str.access_state is 0
[   0 ,  179 980 640] state is 0
[   0 ,  180  25 818] 时隙: 9---------------------------------------------------------------------
[   0 ,  199 963 693] mana_node is 1
[   0 ,  199 988 575] daatr_str.access_state is 0
[   0 ,  199 997 808] state is 0
[   0 ,  200  65 670] 时隙:10---------------------------------------------------------------------
[   0 ,  219 956 565] mana_node is 1
[   0 ,  219 975 335] daatr_str.access_state is 0
[   0 ,  219 983 518] state is 0
[   0 ,  220  50 700] 时隙:11---------------------------------------------------------------------
[   0 ,  239 954 900] mana_node is 1
[   0 ,  239 985 143] daatr_str.access_state is 0
[   0 ,  239 994 175] state is 0
[   0 ,  240  19 723] 时隙:12---------------------------------------------------------------------
[   0 ,  259 955 373] mana_node is 1
[   0 ,  259 973 238] daatr_str.access_state is 0
[   0 ,  259 981  88] state is 0
[   0 ,  260  21 408] 时隙:13---------------------------------------------------------------------
[   0 ,  279 951 150] mana_node is 1
[   0 ,  279 971 208] daatr_str.access_state is 0
[   0 ,  279 979 883] state is 0
[   0 ,  280  53 465] 时隙:14---------------------------------------------------------------------
[   0 ,  299 951 300] mana_node is 1
[   0 ,  299 970 660] daatr_str.access_state is 0
[   0 ,  299 978 695] state is 0
[   0 ,  299 990 943] 时隙:15---------------------------------------------------------------------
[   0 ,  319 971 803] mana_node is 1
[   0 ,  320  10 518] daatr_str.access_state is 0
[   0 ,  320  25 838] state is 0
[   0 ,  320  48 948] 时隙:16---------------------------------------------------------------------
[   0 ,  339 962  98] mana_node is 1
[   0 ,  339 990 895] daatr_str.access_state is 0
[   0 ,  340   5  83] state is 0
[   0 ,  340  27  13] 时隙:17---------------------------------------------------------------------
[   0 ,  359 964 748] mana_node is 1
[   0 ,  359 990 853] daatr_str.access_state is 0
[   0 ,  360   4 700] state is 0
[   0 ,  360  30  75] 时隙:18---------------------------------------------------------------------
[   0 ,  379 953 220] mana_node is 1
[   0 ,  379 972 475] daatr_str.access_state is 0
[   0 ,  379 980 565] state is 0
[   0 ,  380  39 855] 时隙:19---------------------------------------------------------------------
[   0 ,  399 957 488] mana_node is 1
[   0 ,  399 983 203] daatr_str.access_state is 0
[   0 ,  399 997 150] state is 0
[   0 ,  400  20 618] 时隙:20---------------------------------------------------------------------
[   0 ,  419 967 150] mana_node is 1
[   0 ,  419 992 680] daatr_str.access_state is 0
[   0 ,  420   7 888] state is 0
[   0 ,  420  33 450] 时隙:21---------------------------------------------------------------------
[   0 ,  439 964 463] mana_node is 1
[   0 ,  439 990 458] daatr_str.access_state is 0
[   0 ,  440   4  10] state is 0
[   0 ,  440  26 570] 时隙:22---------------------------------------------------------------------
[   0 ,  459 960  28] mana_node is 1
[   0 ,  459 979 913] daatr_str.access_state is 0
[   0 ,  459 988 320] state is 0
[   0 ,  460  19 980] 时隙:23---------------------------------------------------------------------
[   0 ,  479 971 305] mana_node is 1
[   0 ,  480   0  25] daatr_str.access_state is 0
[   0 ,  480  14 640] state is 0
[   0 ,  480  37  70] 时隙:24---------------------------------------------------------------------
[   0 ,  499 956 790] mana_node is 1
[   0 ,  499 984 705] daatr_str.access_state is 0
[   0 ,  499 999 438] state is 0
[   0 ,  500  22 350] 时隙: 0---------------------------------------------------------------------
[   0 ,  519 954 135] mana_node is 1
[   0 ,  519 979 295] daatr_str.access_state is 0
[   0 ,  519 988 470] state is 0
[   0 ,  520  29 338] 时隙: 1---------------------------------------------------------------------
[   0 ,  520 802 570] NODE  1 发送飞行状态信息
[   0 ,  539 964 860] mana_node is 1
[   0 ,  539 991 960] daatr_str.access_state is 0
[   0 ,  540   5 158] state is 0
