[   0 ,    0 168 423] 时隙: 0---------------------------------------------------------------------
[   0 ,   19 934 155] mana_node is 1
[   0 ,   19 966 775] daatr_str.access_state is 0
[   0 ,   19 980 680] state is 0
[   0 ,   20   2 515] 时隙: 1---------------------------------------------------------------------
[   0 ,   21  20 880] NODE  2 收到网管节点飞行状态信息
[   0 ,   21 287 595] 最佳天线编号: 1, 俯仰角: nan, 方位角: nan
[   0 ,   39 947 323] mana_node is 1
[   0 ,   39 979  40] daatr_str.access_state is 0
[   0 ,   39 994  40] state is 0
[   0 ,   40  18 530] 时隙: 2---------------------------------------------------------------------
[   0 ,   41 169 183] NODE  2 发送飞行状态信息
[   0 ,   59 933 865] mana_node is 1
[   0 ,   59 963 660] daatr_str.access_state is 0
[   0 ,   60   0 508] state is 0
[   0 ,   60  27 850] 时隙: 3---------------------------------------------------------------------
[   0 ,   61 102 778] NODE  2 收到普通节点飞行状态信息
[   0 ,   61 193 855] 最佳天线编号: 1, 俯仰角: nan, 方位角: nan
[   0 ,   79 941 928] mana_node is 1
[   0 ,   79 973 560] daatr_str.access_state is 0
[   0 ,   79 987 768] state is 0
[   0 ,   80   9 648] 时隙: 4---------------------------------------------------------------------
[   0 ,   99 929 650] mana_node is 1
[   0 ,   99 958 265] daatr_str.access_state is 0
[   0 ,   99 972 125] state is 0
[   0 ,  100  40 335] 时隙: 5---------------------------------------------------------------------
[   0 ,  119 936 830] mana_node is 1
[   0 ,  119 966 870] daatr_str.access_state is 0
[   0 ,  119 976 300] state is 0
[   0 ,  120  32 748] 时隙: 6---------------------------------------------------------------------
[   0 ,  139 955 400] mana_node is 1
[   0 ,  139 985 580] daatr_str.access_state is 0
[   0 ,  139 999 860] state is 0
[   0 ,  140  22 483] 时隙: 7---------------------------------------------------------------------
[   0 ,  159 936 688] mana_node is 1
[   0 ,  159 964 943] daatr_str.access_state is 0
[   0 ,  159 978 853] state is 0
[   0 ,  160   4  55] 时隙: 8---------------------------------------------------------------------
[   0 ,  179 924 520] mana_node is 1
[   0 ,  179 950 988] daatr_str.access_state is 0
[   0 ,  179 960 265] state is 0
[   0 ,  179 979 278] 时隙: 9---------------------------------------------------------------------
[   0 ,  199 925 593] mana_node is 1
[   0 ,  199 952 930] daatr_str.access_state is 0
[   0 ,  199 966 350] state is 0
[   0 ,  199 990 900] 时隙:10---------------------------------------------------------------------
[   0 ,  219 922 930] mana_node is 1
[   0 ,  219 950 115] daatr_str.access_state is 0
[   0 ,  219 964 338] state is 0
[   0 ,  219 990 133] 时隙:11---------------------------------------------------------------------
[   0 ,  239 926 665] mana_node is 1
